[[[-102.051769, 36.99311], [-102.051769, 40.003282], [-94.588081, 40.003282], [-94.588081, 36.99311]]]
[[[-87.022482, 35.994568], [-87.022482, 36.405448], [-86.560616, 36.405448], [-86.560616, 35.994568]]]
[[[-46.652181, -23.739761], [-46.652181, -23.657623], [-46.577683, -23.657623], [-46.577683, -23.739761]]]
[[[-43.795449, -23.08302], [-43.795449, -22.739823], [-43.087707, -22.739823], [-43.087707, -23.08302]]]
[[[-103.408633, 20.600585], [-103.408633, 20.752719], [-103.263131, 20.752719], [-103.263131, 20.600585]]]
[[[-77.356787, 37.212618], [-77.356787, 37.290882], [-77.307936, 37.290882], [-77.307936, 37.212618]]]
[[[3.213147, 6.427886], [3.213147, 6.558339], [3.464064, 6.558339], [3.464064, 6.427886]]]
[[[-1.053538, 52.568928], [-1.053538, 52.582008], [-1.020628, 52.582008], [-1.020628, 52.568928]]]
[[[9.040628, 45.386726], [9.040628, 45.535964], [9.278045, 45.535964], [9.278045, 45.386726]]]
[[[35.794194, 40.635844], [35.794194, 40.671537], [35.858561, 40.671537], [35.858561, 40.635844]]]
[[[-85.737225, 30.134176], [-85.737225, 30.226059], [-85.620804, 30.226059], [-85.620804, 30.134176]]]
[[[-106.645646, 25.837092], [-106.645646, 36.500695], [-93.508131, 36.500695], [-93.508131, 25.837092]]]
[[[0.165249, 11.695873], [0.165249, 23.500795], [15.998761, 23.500795], [15.998761, 11.695873]]]
[[[-98.17347, 26.153868], [-98.17347, 26.244297], [-98.11375, 26.244297], [-98.11375, 26.153868]]]
[[[-121.754989, 37.891224], [-121.754989, 37.971552], [-121.677919, 37.971552], [-121.677919, 37.891224]]]
[[[36.957681, 39.720097], [36.957681, 39.776664], [37.07853, 39.776664], [37.07853, 39.720097]]]
[[[-70.631948, -33.644147], [-70.631948, -33.542929], [-70.486735, -33.542929], [-70.486735, -33.644147]]]
[[[-9.50049, 38.738578], [-9.50049, 38.93253], [-9.220689, 38.93253], [-9.220689, 38.738578]]]
[[[43.817285, 26.149561], [43.817285, 26.540541], [44.101896, 26.540541], [44.101896, 26.149561]]]
[[[4.7289, 52.278227], [4.7289, 52.431229], [5.079207, 52.431229], [5.079207, 52.278227]]]
[[[46.304398, 24.332068], [46.304398, 25.111819], [47.065756, 25.111819], [47.065756, 24.332068]]]
[[[-87.022482, 35.994568], [-87.022482, 36.405448], [-86.560616, 36.405448], [-86.560616, 35.994568]]]
[[[-57.674304, -25.34793], [-57.674304, -25.252598], [-57.537731, -25.252598], [-57.537731, -25.34793]]]
[[[-89.853527, 30.235705], [-89.853527, 30.36002], [-89.677511, 30.36002], [-89.677511, 30.235705]]]
[[[-93.329515, 44.889964], [-93.329515, 45.051257], [-93.194578, 45.051257], [-93.194578, 44.889964]]]
[[[-84.419128, 33.971999], [-84.419128, 34.110424], [-84.261548, 34.110424], [-84.261548, 33.971999]]]
[[[-84.321948, 33.752879], [-84.321948, 36.588118], [-75.40012, 36.588118], [-75.40012, 33.752879]]]
[[[-91.42088, 39.879982], [-91.42088, 39.972396], [-91.315192, 39.972396], [-91.315192, 39.879982]]]
[[[-83.051445, 7.20386], [-83.051445, 9.639486], [-77.13939, 9.639486], [-77.13939, 7.20386]]]
[[[37.085183, 36.702411], [37.085183, 36.747819], [37.159541, 36.747819], [37.159541, 36.702411]]]
[[[2.408972, 48.776295], [2.408972, 48.816821], [2.433701, 48.816821], [2.433701, 48.776295]]]
[[[-84.710722, 39.052962], [-84.710722, 39.221114], [-84.368903, 39.221114], [-84.368903, 39.052962]]]
[[[11.360589, 48.061634], [11.360589, 48.248124], [11.722918, 48.248124], [11.722918, 48.061634]]]
[[[-0.259465, 51.417277], [-0.259465, 51.486036], [-0.127974, 51.486036], [-0.127974, 51.417277]]]
[[[36.212404, 37.048716], [36.212404, 37.101381], [36.285574, 37.101381], [36.285574, 37.048716]]]
[[[-123.343425, 44.527244], [-123.343425, 44.611247], [-123.215262, 44.611247], [-123.215262, 44.527244]]]
[[[-113.402012, 53.354476], [-113.402012, 53.893471], [-112.840174, 53.893471], [-112.840174, 53.354476]]]
[[[32.382233, 37.73869], [32.382233, 38.001378], [32.639215, 38.001378], [32.639215, 37.73869]]]
[[[-87.940033, 41.644102], [-87.940033, 42.023067], [-87.523993, 42.023067], [-87.523993, 41.644102]]]
[[[38.929659, 20.913775], [38.929659, 22.257646], [39.578598, 22.257646], [39.578598, 20.913775]]]
[[[-1.289608, 51.712267], [-1.289608, 51.796305], [-1.177259, 51.796305], [-1.177259, 51.712267]]]
[[[-60.781306, -33.033993], [-60.781306, -32.869238], [-60.613506, -32.869238], [-60.613506, -33.033993]]]
[[[-114.07623, 35.174131], [-114.07623, 35.273374], [-113.959184, 35.273374], [-113.959184, 35.174131]]]
